Count,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn,Churn Score,Clusters,PCA1,PCA2,Churn_Probability,Risk_Level,Segment
1,1,0,0,0,2,1,0,DSL,1,1,0,0,0,0,Month-to-month,1,Mailed check,53.85,108,1,86,1,-1.516199368642873,0.5222538200019928,0.41930035,Medium, leaving Risk
1,0,0,0,1,2,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,70.7,151,1,67,1,-1.2313921473325067,0.9648077165314404,0.37259877,Medium, leaving Risk
1,0,0,0,1,8,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,99.65,820,1,86,1,-0.428776390031251,1.5607396750691154,0.6295656,High, leaving Risk
1,0,0,1,1,28,1,1,Fiber optic,0,0,1,1,1,1,Month-to-month,1,Electronic check,104.8,3046,1,84,2,0.7698252658912371,1.1417303759244084,0.12541269,Low, High Value
1,1,0,0,1,49,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Bank transfer (automatic),103.7,5036,1,89,2,1.8212861774133489,0.5398084153428585,0.15692782,Low, High Value
1,0,0,1,0,10,1,0,DSL,0,0,1,1,0,0,Month-to-month,0,Credit card (automatic),55.2,528,1,78,1,-1.1863174223246709,0.3486885803008361,0.24176842,Low, leaving Risk
1,1,1,0,0,1,0,0,DSL,0,0,1,0,0,1,Month-to-month,1,Electronic check,39.65,39,1,100,1,-1.7889302382486996,0.17490545357620102,0.7852983,Critical, leaving Risk
1,1,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.15,20,1,92,1,-2.10949847970581,-0.33808174784162,0.32740664,Medium, leaving Risk
1,1,0,1,1,47,1,1,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,99.35,4749,1,77,2,1.6205726990720037,0.48246420916331234,0.11787787,Low, High Value
1,1,0,1,0,1,0,0,DSL,0,1,0,0,0,0,Month-to-month,0,Electronic check,30.2,30,1,97,1,-1.9442215700762657,-0.07370165922436739,0.65512264,High, leaving Risk
1,0,0,0,0,17,1,0,DSL,0,0,0,0,1,1,Month-to-month,1,Mailed check,64.7,1093,1,74,1,-0.7053171422152231,0.41053314603890323,0.30884668,Medium, leaving Risk
1,1,0,0,1,5,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,69.7,316,1,66,1,-1.1298157374622173,0.859852996869177,0.26072177,Low, leaving Risk
1,1,0,0,1,34,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,106.35,3549,1,65,2,1.081108120959325,1.0206209065518281,0.15535514,Low, High Value
1,0,0,0,1,11,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Bank transfer (automatic),97.85,1105,1,70,1,-0.30489567631650805,1.4314694467940376,0.51592535,High, leaving Risk
1,0,0,0,1,2,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,80.65,144,1,90,1,-1.0727210654579025,1.2270147070179553,0.43675873,Medium, leaving Risk
